"future","playerID","firstName","lastName","name","team","logo","mgm_odds","mgm_winPct"
"Hart Trophy","4075","Nathan","MacKinnon","Nathan MacKinnon","COL","https://content.rotowire.com/images/teamlogo/hockey/100COL.png?v=5","-375","59.0"
"Hart Trophy","7127","Macklin","Celebrini","Macklin Celebrini","SJS","https://content.rotowire.com/images/teamlogo/hockey/100SJS.png?v=5","360","16.3"
"Hart Trophy","4712","Connor","McDavid","Connor McDavid","EDM","https://content.rotowire.com/images/teamlogo/hockey/100EDM.png?v=5","650","10.0"
"Hart Trophy","3828","Nikita","Kucherov","Nikita Kucherov","TBL","https://content.rotowire.com/images/teamlogo/hockey/100TBL.png?v=5","10000","0.7"
"Hart Trophy","4386","Leon","Draisaitl","Leon Draisaitl","EDM","https://content.rotowire.com/images/teamlogo/hockey/100EDM.png?v=5","20000","0.4"
"Hart Trophy","5278","Kirill","Kaprizov","Kirill Kaprizov","MIN","https://content.rotowire.com/images/teamlogo/hockey/100MIN.png?v=5","20000","0.4"
"Hart Trophy","5417","Cale","Makar","Cale Makar","COL","https://content.rotowire.com/images/teamlogo/hockey/100COL.png?v=5","20000","0.4"
"Hart Trophy","4478","Ilya","Sorokin","Ilya Sorokin","NYI","https://content.rotowire.com/images/teamlogo/hockey/100NYI.png?v=5","15000","0.5"
"Hart Trophy","6916","Connor","Bedard","Connor Bedard","CHI","https://content.rotowire.com/images/teamlogo/hockey/100CHI.png?v=5","30000","0.2"
"Hart Trophy","4405","David","Pastrnak","David Pastrnak","BOS","https://content.rotowire.com/images/teamlogo/hockey/100BOS.png?v=5","30000","0.2"
