name,league,team_abbr,primary,secondary,tertiary,quaternary,division,location,mascot,sportslogos_name,team_logo_espn,logo
Anaheim Ducks,nhl,ANA,#010101,#a2aaad,#fc4c02,#85714d,Pacific,Anaheim,Ducks,Anaheim Ducks,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/ana.png,http://content.sportslogos.net/logos/1/1736/thumbs/173616512014.gif
Utah Mammoth,nhl,UTA,#010101,#862633,#ddcba4,NA,Pacific,Utah,Mammoth,Utah Mammoth,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/uta.png,http://content.sportslogos.net/logos/1/5263/thumbs/526378072015.gif
Boston Bruins,nhl,BOS,#010101,#ffb81c,NA,NA,Atlantic,Boston,Bruins,Boston Bruins,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/bos.png,http://content.sportslogos.net/logos/1/3/thumbs/venf9fmhgnsawnxxvehf.gif
Buffalo Sabres,nhl,BUF,#041e42,#a2aaad,#ffb81c,#c8102e,Atlantic,Buffalo,Sabres,Buffalo Sabres,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/buf.png,http://content.sportslogos.net/logos/1/4/thumbs/i40oxcdbo7xtfamqqhqachoyo.gif
Calgary Flames,nhl,CGY,#010101,#f1be48,#c8102e,NA,Pacific,Calgary,Flames,Calgary Flames,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/cgy.png,http://content.sportslogos.net/logos/1/5/thumbs/50.gif
Carolina Hurricanes,nhl,CAR,#010101,#a2aaad,#c8102e,NA,Metropolitan,Carolina,Hurricanes,Carolina Hurricanes,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/car.png,http://content.sportslogos.net/logos/1/6/thumbs/fotih31tn5r345nufo5xxayh3.gif
Chicago Blackhawks,nhl,CHI,#010101,#ff671f,#ffd100,#001871,Central,Chicago,Blackhawks,Chicago Blackhawks,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/chi.png,http://content.sportslogos.net/logos/1/7/thumbs/56.gif
Colorado Avalanche,nhl,COL,#010101,#236192,#a4a9ad,#6f263d,Central,Colorado,Avalanche,Colorado Avalanche,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/col.png,http://content.sportslogos.net/logos/1/8/thumbs/64.gif
Columbus Blue Jackets,nhl,CBJ,#041e42,#a4a9ad,#c8102e,NA,Metropolitan,Columbus,Blue Jackets,Columbus Blue Jackets,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/cbj.png,http://content.sportslogos.net/logos/1/9/thumbs/jhepegs329pc7ugyypebl28wg.gif
Dallas Stars,nhl,DAL,#010101,#006341,#8a8d8f,NA,Central,Dallas,Stars,Dallas Stars,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/dal.png,http://content.sportslogos.net/logos/1/10/thumbs/1079172014.gif
Detroit Red Wings,nhl,DET,#c8102e,NA,NA,NA,Atlantic,Detroit,Red Wings,Detroit Red Wings,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/det.png,http://content.sportslogos.net/logos/1/11/thumbs/yo3wysbjtagzmwj37tb11u0fh.gif
Edmonton Oilers,nhl,EDM,#00205b,#cf4520,NA,NA,Pacific,Edmonton,Oilers,Edmonton Oilers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/edm.png,http://content.sportslogos.net/logos/1/12/thumbs/1227282018.gif
Florida Panthers,nhl,FLA,#041e42,#b9975b,#c8102e,NA,Atlantic,Florida,Panthers,Florida Panthers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/fla.png,http://content.sportslogos.net/logos/1/13/thumbs/1380782017.gif
Los Angeles Kings,nhl,LAK,#010101,#a2aaad,NA,NA,Pacific,Los Angeles,Kings,Los Angeles Kings,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/la.png,http://content.sportslogos.net/logos/1/14/thumbs/1422202020.gif
Minnesota Wild,nhl,MIN,#154734,#ddcba4,#eaaa00,#a6192e,Central,Minnesota,Wild,Minnesota Wild,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/min.png,http://content.sportslogos.net/logos/1/15/thumbs/1588102014.gif
Montreal Canadiens,nhl,MTL,#001e62,#a6192e,NA,NA,Atlantic,Montreal,Canadiens,Montreal Canadiens,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/mtl.png,http://content.sportslogos.net/logos/1/16/thumbs/124.gif
Nashville Predators,nhl,NSH,#041e42,#ffb81c,NA,NA,Central,Nashville,Predators,Nashville Predators,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/nsh.png,http://content.sportslogos.net/logos/1/17/thumbs/lvchw3qfsun2e7oc02kh2zxb6.gif
New Jersey Devils,nhl,NJD,#010101,#c8102e,NA,NA,Metropolitan,New Jersey,Devils,New Jersey Devils,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/njd.png,http://content.sportslogos.net/logos/1/18/thumbs/32tfs723a3bes0p0hb4hgcy1u.gif
New York Islanders,nhl,NYI,#003087,#fc4c02,NA,NA,Metropolitan,New York,Islanders,New York Islanders,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/nyi.png,http://content.sportslogos.net/logos/1/19/thumbs/1939112018.gif
New York Rangers,nhl,NYR,#0033a0,#c8102e,NA,NA,Metropolitan,New York,Rangers,New York Rangers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/nyr.png,http://content.sportslogos.net/logos/1/20/thumbs/144.gif
Ottawa Senators,nhl,OTT,#010101,#c8102e,#c69214,NA,Atlantic,Ottawa,Senators,Ottawa Senators,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/ott.png,http://content.sportslogos.net/logos/1/21/thumbs/2bkf2l3xyxi5p0cavbj8.gif
Philadelphia Flyers,nhl,PHI,#010101,#fa4616,NA,NA,Metropolitan,Philadelphia,Flyers,Philadelphia Flyers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/phi.png,http://content.sportslogos.net/logos/1/22/thumbs/161.gif
